id,JP,JP_reading,EN,part_of_speech,EN_sentence,JP_sentence,JP_media,JP_sentence_media,JP_pitch_accent
4077,垂直,すいちょく,"vertical, perpendicular",noun,They started to climb a vertical cliff.,彼[かれ]らは<b> 垂直[すいちょく]</b>のがけを 登[のぼ]り 始[はじ]めたの。,4077V.opus,4077S.opus,0
4078,暴れる,あばれる,"act violently, rage about",verb,He was so drunk that he became violent.,彼[かれ]は 悪酔[わるよ]いして<b> 暴[あば]れた</b>んだ。,4078V.opus,4078S.opus,0
4079,峠,とうげ,"mountain pass, ridge",noun,You'll see a village when you go over this mountain pass.,この<b> 峠[とうげ]</b>を 越[こ]えると 村[むら]があります。,4079V.opus,4079S.opus,3
4080,ヨット,よっと,"sailboat, yacht",noun,I enjoyed cruising on the yacht.,<b>ヨット</b>でクルージングを 楽[たの]しみましたわ。,4080V.opus,4080S.opus,1
4081,厳重,げんじゅう,"strictness, severity",adjectival noun,My boss told me off severely.,上司[じょうし]から<b> 厳重[げんじゅう]</b>に 注意[ちゅうい]されました。,4081V.opus,4081S.opus,0
4082,税関,ぜいかん,customs office,noun,They confiscated my fur at the customs office.,毛皮[けがわ]を<b> 税関[ぜいかん]</b>で 没収[ぼっしゅう]されたんだ。,4082V.opus,4082S.opus,0
4083,日差し,ひざし,"rays of the sun, sunlight",noun,The sunlight is strong today.,今日[きょう]は<b> 日差[ひざ]し</b>が 強[つよ]いですね。,4083V.opus,4083S.opus,0
4084,芝生,しばふ,"lawn, turf",noun,The lawn is well-maintained.,<b> 芝生[しばふ]</b>がよく 手入[てい]れされていますね。,4084V.opus,4084S.opus,0
4085,下車,げしゃ,getting off,verbal noun,We got off on the way because the scenery was beautiful.,景色[けしき]が 良[よ]かったので 途中[とちゅう]<b> 下車[げしゃ]</b>したよ。,4085V.opus,4085S.opus,1
4086,停電,ていでん,"blackout, power failure",verbal noun,The typhoon caused a blackout.,台風[たいふう]で<b> 停電[ていでん]</b>したよ。,4086V.opus,4086S.opus,0
4087,名所,めいしょ,famous place,noun,This place is famous for its cherry blossoms.,ここは 桜[さくら]の<b> 名所[めいしょ]</b>です。,4087V.opus,4087S.opus,0
4088,気圧,きあつ,atmospheric pressure,noun,The atmospheric pressure is low in high mountains.,高[たか]い 山[やま]は<b> 気圧[きあつ]</b>が 低[ひく]いね。,4088V.opus,4088S.opus,0
4089,父母,ふぼ,"father and mother, parents",noun,The school contacted my parents.,学校[がっこう]から<b> 父母[ふぼ]</b>に 連絡[れんらく]があったんだ。,4089V.opus,4089S.opus,1
4090,恋人,こいびと,boyfriend or girlfriend,noun,He lost his girlfriend.,彼[かれ]は<b> 恋人[こいびと]</b>を 失[うしな]った。,4090V.opus,4090S.opus,0
4091,リボン,りぼん,ribbon,noun,I put a ribbon on the present.,プレゼントに<b>リボン</b>を 付[つ]けた。,4091V.opus,4091S.opus,1
4092,図書室,としょしつ,library room (within a school or building).,noun,I studied in the library.,<b> 図書[としょ] 室[しつ]</b>で 勉強[べんきょう]した。,4092V.opus,4092S.opus,2
4093,万歳,ばんざい,hurray,interjection,We won--hurray!,勝[か]った、<b> 万歳[ばんざい]</b>！,4093V.opus,4093S.opus,3
4094,自習,じしゅう,"Self-study (as part of schoolwork, e.g., homework/study period)",verbal noun,I have study time tomorrow.,明日[あす]は<b> 自習[じしゅう]</b>の 時間[じかん]がある。,4094V.opus,4094S.opus,0
4095,引き算,ひきざん,subtraction,verbal noun,My daughter's learning subtraction at school.,娘[むすめ]は 学校[がっこう]で<b> 引[ひ]き 算[ざん]</b>を 習[なら]っている。,4095V.opus,4095S.opus,2
4096,足し算,たしざん,addition (math),verbal noun,My daughter learned addition in school.,娘[むすめ]は 学校[がっこう]で<b> 足[た]し 算[ざん]</b>を 習[なら]った。,4096V.opus,4096S.opus,2
4097,チョーク,ちょーく,chalk,noun,I wrote letters on the blackboard with a piece of chalk.,<b>チョーク</b>で 黒板[こくばん]に 字[じ]を 書[か]きました。,4097V.opus,4097S.opus,1
4098,ノック,のっく,knock,verbal noun,Please knock on the door before entering.,入[はい]るときはドアを<b>ノック</b>してください。,4098V.opus,4098S.opus,1
4099,休養,きゅうよう,"rest, recreation",verbal noun,She is taking a rest now.,彼女[かのじょ]は 今[いま]、<b> 休養[きゅうよう]</b> 中[ちゅう]です。,4099V.opus,4099S.opus,0
4100,綱,つな,"Rope (traditional, thick rope used for tug-of-war or sumo rituals)",noun,I hear the diameter of the rope is 20cm.,この<b> 綱[つな]</b>は 直径[ちょっけい]２０ ｃｍ[せんち]あるそうです。,4100V.opus,4100S.opus,2
4101,日光,にっこう,"sunshine, sunlight",noun,This room gets quite a lot of sunshine.,この 部屋[へや]は<b> 日光[にっこう]</b>がよく 当[あ]たるね。,4101V.opus,4101S.opus,1
4102,空想,くうそう,"fantasy, daydreams",verbal noun,He's daydreaming.,彼[かれ]は<b> 空想[くうそう]</b>にふけっているの。,4102V.opus,4102S.opus,0
4103,勘,かん,"intuition, hunch",noun,Don't underestimate a female intuition.,女[おんな]の<b> 勘[かん]</b>を 甘[あま]く 見[み]てはいけません。,4103V.opus,4103S.opus,0
4104,ものすごい,ものすごい,tremendous,adjective,There was a tremendous downpour earlier this evening.,夕方[ゆうがた]、<b>ものすごい</b> 雨[あめ]が 降[ふ]ったね。,4104V.opus,4104S.opus,4
4105,映す,うつす,"reflect (something), project (an image)",verb,She looked at herself in the mirror.,彼女[かのじょ]は 自分[じぶん]の 姿[すがた]を 鏡[かがみ]に<b> 映[うつ]した</b>の。,4105V.opus,4105S.opus,2
4106,熱帯,ねったい,tropics,noun,There are tropical fruits lining up in the shop.,店[みせ]に<b> 熱帯[ねったい]</b>の 果物[くだもの]が 並[なら]んでいますよ。,4106V.opus,4106S.opus,0
4107,揉む,もむ,"rub, massage",verb,Please massage my shoulders.,肩[かた]を<b> 揉[も]んで</b>ください。,4107V.opus,4107S.opus,0
4108,合図,あいず,"signal, sign",verbal noun,The conductor gave a signal for departure.,車掌[しゃしょう]が 発車[はっしゃ]の<b> 合図[あいず]</b>をしたよ。,4108V.opus,4108S.opus,1
4109,夜明け,よあけ,"dawn, daybreak",noun,I awoke at daybreak.,<b> 夜明[よあ]け</b>と 共[とも]に 目[め]が 覚[さ]めたんだ。,4109V.opus,4109S.opus,3
4110,有能,ゆうのう,"competent, capable",adjectival noun,She's a very capable subordinate.,彼女[かのじょ]はとても<b> 有能[ゆうのう]</b>な 部下[ぶか]です。,4110V.opus,4110S.opus,0
4111,望み,のぞみ,"desire, hope",noun,I want to live abroad.,私[わたし]の<b> 望[のぞ]み</b>は 海外[かいがい]で 暮[く]らすことです。,4111V.opus,4111S.opus,0
4112,アクセント,あくせんと,"accent, stress",noun,American English and British English can be different in their accents.,アメリカ 英語[えいご]とイギリス 英語[えいご]では<b>アクセント</b>が 違[ちが]うことがあるね。,4112V.opus,4112S.opus,1
4113,揚げる,あげる,fry,verb,She fried some tempura for dinner.,彼女[かのじょ]は 夕食[ゆうしょく]に 天[てん]ぷらを<b> 揚[あ]げました</b>。,4113V.opus,4113S.opus,0
4114,束,たば,"bundle, bunch",noun,These are 300 yen a bunch.,これは 一[ひと]<b> 束[たば]</b>で３００ 円[えん]です。,4114V.opus,4114S.opus,1
4115,夕日,ゆうひ,setting sun,noun,The evening sun set in the western sky.,<b> 夕日[ゆうひ]</b>が 西[にし]の 空[そら]に 沈[しず]んだね。,4115V.opus,4115S.opus,0
4116,暮れる,くれる,get dark,verb,Let's go home before it gets dark.,日[ひ]が<b> 暮[く]れる</b> 前[まえ]に 帰[かえ]りましょう。,4116V.opus,4116S.opus,0
4117,オルガン,おるがん,organ (music),noun,We sang hymns with an organ accompaniment.,僕[ぼく]たちは<b>オルガン</b>に 合[あ]わせて 賛美[さんび] 歌[か]を 歌[うた]ったんだ。,4117V.opus,4117S.opus,0
4118,貸し,かし,loan,noun,He owes me one.,彼[かれ]には<b> 貸[か]し</b>があるの。,4118V.opus,4118S.opus,0
4119,縫う,ぬう,"sew, stitch",verb,She sewed a child's skirt.,彼女[かのじょ]は 子供[こども]のスカートを<b> 縫[ぬ]った</b>んだ。,4119V.opus,4119S.opus,1
4120,もうける,もうける,make a profit,verb,I made a million yen in the stock market last month.,先月[せんげつ]は 株[かぶ]で１００ 万[まん] 円[えん]<b>もうけた</b>の。,4120V.opus,4120S.opus,3
4121,延びる,のびる,"extend, be postponed",verb,The construction schedule has been postponed for one month.,工事[こうじ]の 予定[よてい]が１か 月[げつ]<b> 延[の]びて</b>しまった。,4121V.opus,4121S.opus,2
4122,むける,むける,"come off, peel",verb,My skin peeled due to sunburn.,日焼[ひや]けで 皮[かわ]が<b>むけた</b>。,4122V.opus,4122S.opus,0
4123,明かり,あかり,light (lamp/light source),noun,Let's turn on the room light.,部屋[へや]の<b> 明[あ]かり</b>をつけましょう。,4123V.opus,4123S.opus,0
4124,近頃,ちかごろ,"recently, these days",noun,She's been acting strangely these days.,<b> 近頃[ちかごろ]</b>、 彼女[かのじょ]の 様子[ようす]がおかしい。,4124V.opus,4124S.opus,2
4125,体温,たいおん,body temperature,noun,My temperature this morning was 36 degrees.,今朝[けさ]の<b> 体温[たいおん]</b>は３６ 度[ど]でした。,4125V.opus,4125S.opus,1
4126,枚数,まいすう,number of flat things,noun,Please count the number of copies.,コピーの<b> 枚数[まいすう]</b>を 数[かぞ]えてください。,4126V.opus,4126S.opus,3
4127,両側,りょうがわ,both sides,noun,There are a lot of stores on both sides of the road.,道[みち]の<b> 両側[りょうがわ]</b>にたくさんお 店[みせ]がありますよ。,4127V.opus,4127S.opus,0
4128,県庁,けんちょう,prefectural office (in regular rural prefectures),noun,That white building is the prefectural office.,あの 白[しろ]い 建物[たてもの]が<b> 県庁[けんちょう]</b>です。,4128V.opus,4128S.opus,1
4129,脂,あぶら,"Fat (animal/grease, often visible or physical)",noun,This meat is fatty.,この 肉[にく]は<b> 脂[あぶら]</b>が 多[おお]い。,4129V.opus,4129S.opus,0
4130,憎む,にくむ,"hate, detest",verb,He no longer hates her.,彼[かれ]はもう 彼女[かのじょ]を<b> 憎[にく]んで</b>はいないよ。,4130V.opus,4130S.opus,2
4131,眺め,ながめ,"view, prospect",noun,The view from here is fantastic.,ここからの<b> 眺[なが]め</b>は 最高[さいこう]です。,4131V.opus,4131S.opus,3
4132,索引,さくいん,index,noun,The index can be usually found at the end of the book.,<b> 索引[さくいん]</b>はたいてい 本[ほん]の 後[うし]ろについていますよ。,4132V.opus,4132S.opus,0
4133,混ざる,まざる,"be mixed, be stirred",verb,Water and oil don't mix.,水[みず]と 油[あぶら]は<b> 混[ま]ざりません</b>。,4133V.opus,4133S.opus,2
4134,一段と,いちだんと,"even more (kanji). Emphasizes a further increase — ""even more,"" ""still more.""",adverb,It seems that the prices are going up even further.,物価[ぶっか]は<b> 一段[いちだん]と</b> 上昇[じょうしょう]しそうだね。,4134V.opus,4134S.opus,-1
4135,衣服,いふく,"clothes, garment (formal). Legal, medical, or academic texts",noun,His company sells clothes.,彼[かれ]の 会社[かいしゃ]は<b> 衣服[いふく]</b>を 扱[あつか]っているよ。,4135V.opus,4135S.opus,1
4136,ヘリコプター,へりこぷたー,helicopter,noun,There's a helicopter flying over the accident site.,事故[じこ] 現場[げんば]の 上空[じょうくう]を<b>ヘリコプター</b>が 飛[と]んでいます。,4136V.opus,4136S.opus,3
4137,たちまち,たちまち,"in a moment, suddenly",adverb,The sky suddenly clouded over.,空[そら]が<b>たちまち</b> 曇[くも]ってきたね。,4137V.opus,4137S.opus,0
4138,担ぐ,かつぐ,"shoulder, carry",verb,He came carrying large luggage.,彼[かれ]は 大[おお]きな 荷物[にもつ]を<b> 担[かつ]いで</b> 来[き]たの。,4138V.opus,4138S.opus,2
4139,万一,まんいち,"if by any chance, just in case",adverb,I bought insurance just in case.,<b> 万一[まんいち]</b>のために 保険[ほけん]に 入[はい]ったの。,4139V.opus,4139S.opus,1
4140,大小,だいしょう,size,noun,Submissions of all sizes are accepted.,応募[おうぼ] 作品[さくひん]の<b> 大小[だいしょう]</b>は 問[と]いません。,4140V.opus,4140S.opus,1
4141,要点,ようてん,"main point, gist",noun,Please tell me just the main point of the talk.,話[はなし]の<b> 要点[ようてん]</b>だけ 教[おし]えてください。,4141V.opus,4141S.opus,3
4142,真っ先,まっさき,"first thing, first",noun,I told my parents first that I had passed the exam.,合格[ごうかく]を<b> 真[ま]っ 先[さき]</b>に 両親[りょうしん]に 伝[つた]えたの。,4142V.opus,4142S.opus,3
4143,鈍い,にぶい,"dull, slow",adjective,My brain is working slowly today.,今日[きょう]は 頭[あたま]の 回転[かいてん]が<b> 鈍[にぶ]い</b>です。,4143V.opus,4143S.opus,2
4144,花嫁,はなよめ,bride,noun,The bride came in with her father.,<b> 花嫁[はなよめ]</b>が 父親[ちちおや]と 一緒[いっしょ]に 入[はい]ってきましたね。,4144V.opus,4144S.opus,2
4145,向かい,むかい,opposite side,noun,The seat opposite is vacant.,<b> 向[む]かい</b>の 席[せき]が 空[あ]いていますよ。,4145V.opus,4145S.opus,0
4146,苦しめる,くるしめる,"torment (someone), trouble (someone)",verb,The strong sunlight troubled the athletes.,強[つよ]い 日差[ひざ]しが 選手[せんしゅ]たちを<b> 苦[くる]しめた</b>の。,4146V.opus,4146S.opus,4
4147,大して,たいして,"(not) very, (not that) much",adverb,He didn't look that happy.,彼[かれ]は<b> 大[たい]して</b> 嬉[うれ]しそうには 見[み]えなかったよね。,4147V.opus,4147S.opus,1
4148,亡くす,なくす,lose (in death),verb,I lost my friend last year.,昨年[さくねん]、 友人[ゆうじん]を<b> 亡[な]くしました</b>。,4148V.opus,4148S.opus,0
4149,時速,じそく,speed per hour,noun,The highest speed of the shinkansen train is 300 km per hour.,新幹線[しんかんせん]の 最高[さいこう]<b> 時速[じそく]</b>は３００キロです。,4149V.opus,4149S.opus,0
4150,消毒,しょうどく,"disinfection, sterilization",verbal noun,I disinfected the wound on my foot.,足[あし]の 傷[きず]を<b> 消毒[しょうどく]</b>したわ。,4150V.opus,4150S.opus,0
4151,能率,のうりつ,productivity or ability to complete tasks effectively — especially in human/work contexts.,noun,This method is more efficient.,この 方法[ほうほう]だと<b> 能率[のうりつ]</b>がいいですね。,4151V.opus,4151S.opus,0
4152,湿気,しっけ,"humidity, dampness",noun,This room is dark and damp.,この 部屋[へや]は 暗[くら]くて<b> 湿気[しっけ]</b>が 多[おお]いね。,4152V.opus,4152S.opus,0
4153,小麦,こむぎ,wheat (specifically wheat),noun,Wheat is used in many foods.,<b> 小麦[こむぎ]</b>はいろいろな 食[た]べ 物[もの]に 使[つか]われている。,4153V.opus,4153S.opus,0
4154,生ずる,しょうずる,"arise, bring about",verb,An unexpected problem arose.,想定[そうてい] 外[がい]の 問題[もんだい]が<b> 生[しょう]じた</b>の。,4154V.opus,4154S.opus,0
4155,はめる,はめる,"put (something) into a hole, frame etc.",verb,She's wearing a lot of rings.,彼女[かのじょ]は 指輪[ゆびわ]をたくさん<b>はめて</b>いますね。,4155V.opus,4155S.opus,0
4156,快晴,かいせい,clear and fine weather,noun,Today's weather is clear and fine.,今日[きょう]は<b> 快晴[かいせい]</b>ですね。,4156V.opus,4156S.opus,0
4157,噴火,ふんか,eruption,verbal noun,There was a volcano eruption in the island.,島[しま]で 火山[かざん]が<b> 噴火[ふんか]</b>したよ。,4157V.opus,4157S.opus,0
4158,強気,つよき,"assertiveness, being strong-willed",adjectival noun,She's a strong-willed woman.,彼女[かのじょ]は<b> 強気[つよき]</b>な 女性[じょせい]ですね。,4158V.opus,4158S.opus,0
4159,見下ろす,みおろす,look down,verb,I looked down on the foothills from the top of the mountain.,山[やま]の 頂上[ちょうじょう]からふもとを<b> 見下[みお]ろした</b>の。,4159V.opus,4159S.opus,0
4160,鎖,くさり,"chain (physical chain, e.g., metal links)",noun,I tied up the dog with a chain.,犬[いぬ]を<b> 鎖[くさり]</b>でつなぎました。,4160V.opus,4160S.opus,0
4161,祖先,そせん,ancestor,noun,I hear that the ancestor of dogs and cats is the same animal.,犬[いぬ]も 猫[ねこ]も<b> 祖先[そせん]</b>は 同[おな]じ 動物[どうぶつ]らしいよ。,4161V.opus,4161S.opus,1
4162,潜る,もぐる,to go under; to pass under; to dive (into or under the water),verb,He was diving in the sea for a long time.,彼[かれ]は 長[なが]い 間[あいだ]、 海[うみ]に<b> 潜[もぐ]って</b>いたの。,4162V.opus,4162S.opus,2
4163,塀,へい,"fence, wall",noun,A cat is sleeping on top of the wall.,猫[ねこ]が<b> 塀[へい]</b>の 上[うえ]で 寝[ね]ているぞ。,4163V.opus,4163S.opus,0
4164,暮れ,くれ,"dusk, the end (of a season or a year)",noun,I'm busy with a lot of things at the end of the year.,<b> 暮[く]れ</b>は 用事[ようじ]が 多[おお]くて 忙[いそが]しいです。,4164V.opus,4164S.opus,0
4165,ほえる,ほえる,"bark, roar",verb,A dog is barking somewhere.,どこかで 犬[いぬ]が<b>ほえています</b>ね。,4165V.opus,4165S.opus,2
4166,風船,ふうせん,balloon,noun,The child is blowing up a balloon.,子供[こども]が<b> 風船[ふうせん]</b>を 膨[ふく]らませているね。,4166V.opus,4166S.opus,0
4167,引き分け,ひきわけ,"draw, tie",noun,This match is a draw.,この 勝負[しょうぶ]は<b> 引[ひ]き 分[わ]け</b>です。,4167V.opus,4167S.opus,0
4168,逆らう,さからう,"go against, rebel",verb,It's not good to rebel against your parents.,親[おや]に<b> 逆[さか]らう</b>のは 良[よ]くないことです。,4168V.opus,4168S.opus,3
4169,稲,いね,rice plant,noun,There's a variety of rice in Japan.,日本[にっぽん]は<b> 稲[いね]</b>の 品種[ひんしゅ]が 多[おお]いよ。,4169V.opus,4169S.opus,1
4170,金庫,きんこ,"strong box, safe",noun,I put my valuables in the safe at the hotel.,ホテルの<b> 金庫[きんこ]</b>に 貴重[きちょう] 品[ひん]を 入[い]れたよ。,4170V.opus,4170S.opus,1
4171,慰める,なぐさめる,"console, comfort",verb,My friend consoled me.,友人[ゆうじん]が<b> 慰[なぐさ]めて</b>くれました。,4171V.opus,4171S.opus,4
4172,墨,すみ,black ink,noun,I got a black ink stain on my clothes.,服[ふく]に<b> 墨[すみ]</b>がついちゃった。,4172V.opus,4172S.opus,2
4173,釘,くぎ,"nail, spike",noun,I injured myself stepping on a nail.,<b> 釘[くぎ]</b>を 踏[ふ]んでケガをしました。,4173V.opus,4173S.opus,0
4174,見かけ,みかけ,"looks, appearance",noun,He's kind despite his appearance.,彼[かれ]は<b> 見[み]かけ</b>によらず 優[やさ]しいね。,4174V.opus,4174S.opus,0
4175,コンセント,こんせんと,outlet,noun,I put the plug into the outlet.,プラグを<b>コンセント</b>に 挿[さ]し 込[こ]んだよ。,4175V.opus,4175S.opus,0
4176,香水,こうすい,perfume,noun,There was a nice scent of perfume.,<b> 香水[こうすい]</b>のいい 香[かお]りがした。,4176V.opus,4176S.opus,0
4177,区切る,くぎる,"divide, partition",verb,The floor is divided by partitions.,フロアはパーティションで<b> 区切[くぎ]られて</b>います。,4177V.opus,4177S.opus,2
4178,知らせ,しらせ,"notice, news",noun,Today I received a notice that I passed.,今日[きょう]、 合格[ごうかく]の<b> 知[し]らせ</b>をもらいました。,4178V.opus,4178S.opus,0
4179,帰す,かえす,send (someone) home,verb,The school sent the students home in the morning.,学校[がっこう]は 生徒[せいと]たちを 午前[ごぜん] 中[ちゅう]に<b> 帰[かえ]した</b>ね。,4179V.opus,4179S.opus,1
4180,植木,うえき,garden plant,noun,I watered the plant.,<b> 植木[うえき]</b>に 水[みず]をやりました。,4180V.opus,4180S.opus,0
4181,放る,ほうる,"fling, throw",verb,I threw a ball in the air.,ボールを 空中[くうちゅう]に<b> 放[ほう]った</b>の。,4181V.opus,4181S.opus,0
4182,雑音,ざつおん,"static/noise (background noise, both literal and figurative like interference in radio)",noun,The background noise is so loud that I can't hear your voice.,<b> 雑音[ざつおん]</b>がひどくて 声[こえ]が 聞[き]こえません。,4182V.opus,4182S.opus,0
4183,中途,ちゅうと,halfway,noun,I joined the company as a mid-career worker.,私[わたし]は<b> 中途[ちゅうと]</b> 採用[さいよう]で 入社[にゅうしゃ]しました。,4183V.opus,4183S.opus,0
4184,ロッカー,ろっかー,locker,noun,I put my luggage in a locker at the station.,荷物[にもつ]を 駅[えき]の<b>ロッカー</b>に 入[い]れた。,4184V.opus,4184S.opus,1
4185,姓,せい,"family name, surname",noun,I got married and changed my family name.,結婚[けっこん]して<b> 姓[せい]</b>が 変[か]わりました。,4185V.opus,4185S.opus,1
4186,技師,ぎし,"engineer, technician",noun,He is a radiographer.,彼[かれ]はレントゲン<b> 技師[ぎし]</b>です。,4186V.opus,4186S.opus,1
4187,器用,きよう,"skillful, being good with one's hands",adjectival noun,He is very good with his hands.,彼[かれ]はかなり<b> 器用[きよう]</b>な 人[ひと]です。,4187V.opus,4187S.opus,1
4188,賞品,しょうひん,"Prize item (a tangible good, e.g., gift from lottery)",noun,What would be a good prize for a bingo game at the party?,パーティーのビンゴの<b> 賞品[しょうひん]</b>は 何[なに]がいいだろう。,4188V.opus,4188S.opus,0
4189,開催,かいさい,"holding (of an event), opening",verbal noun,An international conference was held in Kyoto.,京都[きょうと]で 国際[こくさい] 会議[かいぎ]が<b> 開催[かいさい]</b>された。,4189V.opus,4189S.opus,0
4190,議員,ぎいん,"legislator, assembly member",noun,He's a legislator.,彼[かれ]は 国会[こっかい]<b> 議員[ぎいん]</b>です。,4190V.opus,4190S.opus,1
4191,装置,そうち,"equipment, device",noun,We'll use this equipment in our experiment.,実験[じっけん]にはこの<b> 装置[そうち]</b>を 使[つか]います。,4191V.opus,4191S.opus,1
4192,通過,つうか,"passing, passage",verbal noun,This train will skip the next station.,次[つぎ]の 駅[えき]は<b> 通過[つうか]</b>します。,4192V.opus,4192S.opus,0
4193,従来,じゅうらい,"up to now, conventional",noun,This printer works faster than conventional models.,このプリンターは<b> 従来[じゅうらい]</b>のものより 速[はや]い。,4193V.opus,4193S.opus,1
4194,普及,ふきゅう,"spread, diffusion",verbal noun,Garbage recycling has become widespread.,ゴミのリサイクルが<b> 普及[ふきゅう]</b>している。,4194V.opus,4194S.opus,0
4195,存在,そんざい,existence,verbal noun,Do you think that aliens exist?,宇宙[うちゅう] 人[じん]は<b> 存在[そんざい]</b>すると 思[おも]いますか。,4195V.opus,4195S.opus,0
4196,昭和,しょうわ,the Showa era,noun,My parents were born in the Showa era.,私[わたし]の 両親[りょうしん]は<b> 昭和[しょうわ]</b> 生[う]まれです。,4196V.opus,4196S.opus,0
4197,騒がしい,さわがしい,noisy,adjective,It's kind of noisy outside.,何[なん]だか 表[おもて]が<b> 騒[さわ]がしい</b>。,4197V.opus,4197S.opus,4
4198,迎え,むかえ,"greeting, picking (someone) up",noun,Please come pick me up at the station.,駅[えき]まで<b> 迎[むか]え</b>に 来[き]てください。,4198V.opus,4198S.opus,0
4199,勤め,つとめ,Job/role (the act of working or fulfilling a post),noun,I'll quit my job next month.,来月[らいげつ]で<b> 勤[つと]め</b>を 辞[や]めます。,4199V.opus,4199S.opus,3
4200,地元,じもと,"local area, one's hometown",noun,"After graduating from university, I found a job in my hometown.",大学[だいがく]を 出[で]たあと、<b> 地元[じもと]</b>で 就職[しゅうしょく]しました。,4200V.opus,4200S.opus,0
4201,南極,なんきょく,the South Pole,noun,I saw some penguins at the South Pole.,<b> 南極[なんきょく]</b>でペンギンを 見[み]ました。,4201V.opus,4201S.opus,0
4202,澄む,すむ,become clear,verb,The mountain air is clear.,山[やま]の 空気[くうき]は<b> 澄[す]んで</b>いますね。,4202V.opus,4202S.opus,1
4203,実る,みのる,"bear fruit, be fulfilled",verb,My effort has finally paid off.,やっと 努力[どりょく]が<b> 実[みの]りました</b>。,4203V.opus,4203S.opus,2
4204,小鳥,ことり,small bird,noun,I got a small bird for my birthday.,誕生[たんじょう] 日[び]に<b> 小鳥[ことり]</b>を 買[か]ってもらいました。,4204V.opus,4204S.opus,0
4205,閉会,へいかい,closing,verbal noun,The chairperson made closing remarks.,会長[かいちょう]が<b> 閉会[へいかい]</b>の 挨拶[あいさつ]をしました。,4205V.opus,4205S.opus,0
4206,電球,でんきゅう,light bulb,noun,"The bulb is out, so let's get a new one.",<b> 電球[でんきゅう]</b>が 切[き]れたので 交換[こうかん]しましょう。,4206V.opus,4206S.opus,0
4207,在学,ざいがく,being in school,verbal noun,My elder sister is in college.,姉[あね]は 大学[だいがく]に<b> 在学[ざいがく]</b>しています。,4207V.opus,4207S.opus,0
4208,恩,おん,"debt of gratitude, kindness",noun,I'll never forget your kindness.,このご<b> 恩[おん]</b>は 一生[いっしょう] 忘[わす]れません。,4208V.opus,4208S.opus,1
4209,こぐ,こぐ,"To row/pedal (e.g., row a boat, pedal a bicycle)",verb,They took turns rowing the boat.,彼[かれ]らは 交代[こうたい]でボートを<b>こいだ</b>んだ。,4209V.opus,4209S.opus,1
4210,お参り,おまいり,visiting a shrine or temple,verbal noun,I paid a visit to the temple with my family.,家族[かぞく]でお 寺[てら]に<b>お 参[まい]り</b>に 行[い]きました。,4210V.opus,4210S.opus,0
4211,ひねる,ひねる,"twist, turn",verb,He turned the tap.,彼[かれ]は 水道[すいどう]の 蛇口[じゃぐち]を<b>ひねった</b>の。,4211V.opus,4211S.opus,2
4212,初歩,しょほ,"beginning, basic",noun,I'm learning English starting from the basics.,英語[えいご]を<b> 初歩[しょほ]</b>から 勉強[べんきょう]しています。,4212V.opus,4212S.opus,1
4213,略す,りゃくす,"abbreviate, omit",verb,The UN is an abbreviation for the United Nations.,国際[こくさい] 連合[れんごう]を<b> 略[りゃく]して</b> 国連[こくれん]といいます。,4213V.opus,4213S.opus,2
4214,矢印,やじるし,arrow,noun,Please follow the arrow.,<b> 矢印[やじるし]</b>にそって 歩[ある]いてください。,4214V.opus,4214S.opus,2
4215,形容詞,けいようし,adjective,noun,Large is an adjective.,「 大[おお]きい」は<b> 形容詞[けいようし]</b>です。,4215V.opus,4215S.opus,3
4216,バケツ,ばけつ,bucket,noun,Please go get some water in the bucket.,<b>バケツ</b>に 水[みず]をくんできてください。,4216V.opus,4216S.opus,0
4217,短所,たんしょ,weak point,noun,His weak point is that he gives up too easily.,すぐにあきらめてしまうのが 彼[かれ]の<b> 短所[たんしょ]</b>です。,4217V.opus,4217S.opus,1
4218,下町,したまち,(old) downtown,noun,That kid was raised in the downtown area.,あの 子[こ]は<b> 下町[したまち]</b> 育[そだ]ちだ。,4218V.opus,4218S.opus,0
4219,溶かす,とかす,melt (something),verb,The spring sun has melted the snow.,春[はる]の 太陽[たいよう]が 雪[ゆき]を<b> 溶[と]かしました</b>。,4219V.opus,4219S.opus,2
4220,休息,きゅうそく,"rest, break.&nbsp;Rest for recovery, slightly more formal.",verbal noun,It's important to take breaks.,<b> 休息[きゅうそく]</b>をとることは 大切[たいせつ]です。,4220V.opus,4220S.opus,0
4221,放す,はなす,"release, free",verb,I let my dog run freely in the park.,公園[こうえん]で 犬[いぬ]を<b> 放[はな]した</b>の。,4221V.opus,4221S.opus,2
4222,催し,もよおし,"Event (planned occasion, festive or cultural)",noun,I took part in the school event.,学校[がっこう]の<b> 催[もよお]し</b>に 参加[さんか]しました。,4222V.opus,4222S.opus,0
4223,汽車,きしゃ,"train. Older term; literally ""steam vehicle,"" now mostly historical.",noun,I went to town by train.,<b> 汽車[きしゃ]</b>で 街[まち]まで 行[い]った。,4223V.opus,4223S.opus,2
4224,目印,めじるし,"landmark, sign (to spot)",noun,My house has a red roof that's easy to spot.,私[わたし]の 家[いえ]は 赤[あか]い 屋根[やね]が<b> 目印[めじるし]</b>です。,4224V.opus,4224S.opus,2
4225,私鉄,してつ,private railway,noun,I'm an employee of a private railway company.,私[わたし]は<b> 私鉄[してつ]</b>の 職員[しょくいん]です。,4225V.opus,4225S.opus,0
