id,JP,JP_reading,EN,part_of_speech,EN_sentence,JP_sentence,JP_media,JP_sentence_media,JP_pitch_accent
65,立つ,たつ,"stand, rise",verb,He stood on stage.,彼[かれ]はステージに<b> 立[た]った</b>。,65V.opus,65S.opus,1
66,呼ぶ,よぶ,"call, name",verb,Let's call the waiter.,ウェイターを<b> 呼[よ]びましょう</b>。,66V.opus,66S.opus,0
67,大学,だいがく,"university, college",noun,I want to go to college and study more.,<b> 大学[だいがく]</b>に 行[い]ってもっと 勉強[べんきょう]したいです。,67V.opus,67S.opus,0
68,安い,やすい,"cheap, inexpensive",adjective,These clothes were very cheap.,この 服[ふく]はとても<b> 安[やす]かった</b>。,68V.opus,68S.opus,2
69,もっと,もっと,more,adverb,Please come closer.,<b>もっと</b> 近[ちか]くに 来[き]てください。,69V.opus,69S.opus,1
70,帰る,かえる,go back home,verb,Let's go home.,家[うち]に<b> 帰[かえ]ろう</b>。,70V.opus,70S.opus,1
71,分かる,わかる,understand,verb,Did you understand the meaning of the question?,質問[しつもん]の 意味[いみ]は<b> 分[わ]かりました</b>か。,71V.opus,71S.opus,2
72,広い,ひろい,"wide, big",adjective,His house is very big.,彼[かれ]の 家[いえ]はとても<b> 広[ひろ]い</b>。,72V.opus,72S.opus,2
73,数,かず,"number (quantity, amount). ""The number of people"", general count",noun,We don't have enough glasses.,グラスの<b> 数[かず]</b>が 足[た]りません。,73V.opus,73S.opus,1
74,近い,ちかい,"near, close",adjective,The station is near here.,駅[えき]はここから<b> 近[ちか]い</b>です。,74V.opus,74S.opus,2
75,そこ,そこ,there (like book is there),pronoun,Please sit there.,<b>そこ</b>に 座[すわ]ってください。,75V.opus,75S.opus,0
76,走る,はしる,run,verb,Every night he runs three kilometers.,彼[かれ]は 毎晩[まいばん]３キロ<b> 走[はし]って</b>います。,76V.opus,76S.opus,2
77,入れる,いれる,put in,verb,He put the notebook in his bag.,彼[かれ]はかばんに 手帳[てちょう]を<b> 入[い]れた</b>。,77V.opus,77S.opus,0
78,教える,おしえる,"teach, tell",verb,He teaches mathematics.,彼[かれ]は 数学[すうがく]を<b> 教[おし]えて</b>います。,78V.opus,78S.opus,0
79,歩く,あるく,"walk, go on foot",verb,Let's walk to the station.,駅[えき]まで<b> 歩[ある]きましょう</b>。,79V.opus,79S.opus,2
80,会う,あう,meet,verb,Let's meet again.,また<b> 会[あ]いましょう</b>。,80V.opus,80S.opus,1
81,書く,かく,write,verb,I wrote him a letter.,彼[かれ]に 手紙[てがみ]を<b> 書[か]きました</b>。,81V.opus,81S.opus,1
82,頭,あたま,head,noun,I've had a headache since this morning.,今朝[けさ]から<b> 頭[あたま]</b>が 痛[いた]い。,82V.opus,82S.opus,3
83,売る,うる,sell,verb,He sold the house.,彼[かれ]は 家[いえ]を<b> 売[う]った</b>。,83V.opus,83S.opus,0
84,大好き,だいすき,"love, like very much. Used for things/people you really like. Casual and friendly.",adjectival noun,I love dogs.,私[わたし]は 犬[いぬ]が<b> 大好[だいす]き</b>だ。,84V.opus,84S.opus,1
85,体,からだ,"body, physique",noun,I'm physically strong.,私[わたし]は<b> 体[からだ]</b>が 丈夫[じょうぶ]だ。,85V.opus,85S.opus,0
86,直ぐ,すぐ,"at once, soon",adverb,I'll go right away.,<b> 直[す]ぐ</b> 行[い]きます。,86V.opus,86S.opus,1
87,飛ぶ,とぶ,to fly; to jump,verb,There's a bird flying.,鳥[とり]が<b> 飛[と]んで</b>います。,87V.opus,87S.opus,0
88,とても,とても,very,adverb,This book is very interesting.,この 本[ほん]は<b>とても</b>おもしろい。,88V.opus,88S.opus,0
89,誰,だれ,who (neutral). Casual or general — used in everyday conversation.,interrogative,Who would you like to meet?,<b> 誰[だれ]</b>と 会[あ]ってみたいですか。,89V.opus,89S.opus,1
90,好き,すき,"favorite, liked",adjectival noun,I like wine.,私[わたし]はワインが<b> 好[す]き</b>です。,90V.opus,90S.opus,2
91,読む,よむ,read,verb,She's reading a magazine.,彼女[かのじょ]は 雑誌[ざっし]を<b> 読[よ]んで</b>います。,91V.opus,91S.opus,1
92,次,つぎ,next,noun,When shall we meet again?,<b> 次[つぎ]</b>はいつ 会[あ]いましょうか。,92V.opus,92S.opus,2
93,あなた,あなた,you (neutral/polite). Used carefully—can sound distant or impersonal,pronoun,Is this your bag?,これは<b>あなた</b>のかばんですか。,93V.opus,93S.opus,2
94,飲む,のむ,drink,verb,I'm drinking sake with my friend.,友達[ともだち]とお 酒[さけ]を<b> 飲[の]んで</b>います。,94V.opus,94S.opus,1
95,古い,ふるい,old,adjective,I like old cars.,私[わたし]は<b> 古[ふる]い</b> 車[くるま]が 好[す]きです。,95V.opus,95S.opus,2
96,質問,しつもん,question,verbal noun,Please feel free to ask any questions.,<b> 質問[しつもん]</b>のある 方[かた]はどうぞ。,96V.opus,96S.opus,0
97,今日,きょう,today (casual). Used in everyday conversation.,noun,I don't have work today.,<b> 今日[きょう]</b>は 仕事[しごと]がありません。,97V.opus,97S.opus,1
98,友達,ともだち,"friend, companion. Casual and commonly used.",noun,I have a lot of friends.,私[わたし]には<b> 友達[ともだち]</b>がたくさんいます。,98V.opus,98S.opus,0
99,早い,はやい,early,adjective,It's still too early to go to school.,まだ 学校[がっこう]へ 行[い]くには<b> 早[はや]い</b> 時間[じかん]です。,99V.opus,99S.opus,2
100,どれ,どれ,"what, which",interrogative,Which of these do you like?,この 中[なか]で<b>どれ</b>が 好[す]きですか。,100V.opus,100S.opus,1
101,美しい,うつくしい,beautiful,adjective,This picture is beautiful.,この 絵[え]は<b> 美[うつく]しい</b>です。,101V.opus,101S.opus,4
102,いつも,いつも,always (colloquial),adverb,She's always full of energy.,彼女[かのじょ]は<b>いつも</b> 元気[げんき]だ。,102V.opus,102S.opus,1
103,足,あし,"leg, foot",noun,He has long legs.,彼[かれ]は<b> 足[あし]</b>が 長[なが]い。,103V.opus,103S.opus,2
104,起こす,おこす,wake (someone) up,verb,Please wake me up tomorrow at six o'clock.,明日[あす]、６ 時[じ]に<b> 起[お]こして</b>ください。,104V.opus,104S.opus,2
105,見せる,みせる,show,verb,Please show me those pictures.,その 写真[しゃしん]を<b> 見[み]せて</b>ください。,105V.opus,105S.opus,2
106,娘,むすめ,"daughter, girl",noun,My daughter is in the United States.,私[わたし]の<b> 娘[むすめ]</b>はアメリカにいます。,106V.opus,106S.opus,3
107,楽しむ,たのしむ,enjoy,verb,Today I want to enjoy some time to myself.,今日[きょう]は 一人[ひとり]の 時間[じかん]を<b> 楽[たの]しみたい</b>。,107V.opus,107S.opus,3
108,色,いろ,color,noun,I like the color of your sweater.,すてきな<b> 色[いろ]</b>のセーターですね。,108V.opus,108S.opus,2
109,みんな,みんな,everybody (hiragana),noun,Let's give everyone some sweets.,<b>みんな</b>にお 菓子[かし]をあげましょう。,109V.opus,109S.opus,3
110,取る,とる,"take, get",verb,I got a good score on the test.,テストでいい 点[てん]を<b> 取[と]った</b>。,110V.opus,110S.opus,1
111,勉強,べんきょう,"studying (general, daily use)",verbal noun,I'm studying Japanese.,私[わたし]は 日本語[にほんご]を<b> 勉強[べんきょう]</b>しています。,111V.opus,111S.opus,0
112,できる,できる,"can do, be good at",verb,She can speak Italian.,彼女[かのじょ]はイタリア 語[ご]が<b>できます</b>。,112V.opus,112S.opus,0
113,短い,みじかい,"short, brief",adjective,His legs are short.,彼[かれ]は 足[あし]が<b> 短[みじか]い</b>。,113V.opus,113S.opus,3
114,落ちる,おちる,"fall, come down (general). Apple, coin, person falling",verb,Even monkeys fall from trees.,猿[さる]も 木[き]から<b> 落[お]ちる</b>。,114V.opus,114S.opus,2
115,息子,むすこ,son,noun,My son's a college freshman.,うちの<b> 息子[むすこ]</b>は 大学[だいがく]１ 年生[ねんせい]です。,115V.opus,115S.opus,0
116,白い,しろい,"white, blank",adjective,His teeth are white.,彼[かれ]は 歯[は]が<b> 白[しろ]い</b>。,116V.opus,116S.opus,2
117,飛行機,ひこうき,airplane,noun,My son likes toy airplanes.,息子[むすこ]は<b> 飛行機[ひこうき]</b>のおもちゃが 好[す]きです。,117V.opus,117S.opus,2
118,病気,びょうき,illness,noun,My grandfather got sick.,祖父[そふ]が<b> 病気[びょうき]</b>になった。,118V.opus,118S.opus,0
119,冬,ふゆ,winter,noun,Canadian winters are very cold.,カナダの<b> 冬[ふゆ]</b>はとても 寒[さむ]いです。,119V.opus,119S.opus,2
120,年,とし,"year, age",noun,A new year has started.,新[あたら]しい<b> 年[とし]</b>が 始[はじ]まりました。,120V.opus,120S.opus,2
121,重い,おもい,"heavy.&nbsp;Neutral/common word for ""heavy"" in physical or metaphorical sense.",adjective,This bag is heavy.,このかばんは<b> 重[おも]い</b>です。,121V.opus,121S.opus,0
122,胸,むね,"chest, breast",noun,I have a slight pain in my chest.,<b> 胸[むね]</b>に 少[すこ]し 痛[いた]みがあります。,122V.opus,122S.opus,2
123,払う,はらう,to pay.&nbsp;Everyday word for paying — general and informal.,verb,I'll pay for that.,私[わたし]が<b> 払[はら]いましょう</b>。,123V.opus,123S.opus,2
124,軽い,かるい,light (of weight),adjective,These shoes are very light.,この 靴[くつ]はとても<b> 軽[かる]い</b>。,124V.opus,124S.opus,0
125,見つける,みつける,find,verb,I found a new job.,新[あたら]しい 仕事[しごと]を<b> 見[み]つけました</b>。,125V.opus,125S.opus,0
126,忘れる,わすれる,"forget, leave behind",verb,Please don't forget our promise.,約束[やくそく]を<b> 忘[わす]れないで</b>ください。,126V.opus,126S.opus,0
127,酒,さけ,"alcohol, rice wine",noun,She holds her liquor well.,彼女[かのじょ]は<b> 酒[さけ]</b>に 強[つよ]い。,127V.opus,127S.opus,0
128,どちら,どちら,"which, where from",interrogative,"Which do you prefer, meat or fish?",肉[にく]と 魚[さかな]と<b>どちら</b>が 好[す]きですか。,128V.opus,128S.opus,1
129,姉,あね,older sister,noun,My big sister's a college student.,<b> 姉[あね]</b>は 大学生[だいがくせい]です。,129V.opus,129S.opus,0
130,覚える,おぼえる,"memorize, learn",verb,My little sister learned all hiragana.,妹[いもうと]は 平仮名[ひらがな]を 全部[ぜんぶ]<b> 覚[おぼ]えました</b>。,130V.opus,130S.opus,3
131,狭い,せまい,"narrow, small",adjective,My room is small.,私[わたし]の 部屋[へや]は<b> 狭[せま]い</b>です。,131V.opus,131S.opus,2
132,赤い,あかい,red (as adjective),adjective,I bought a red rose.,<b> 赤[あか]い</b>バラを 買[か]いました。,132V.opus,132S.opus,0
133,着る,きる,"wear, put on",verb,I'm wearing a suit today.,今日[きょう]はスーツを<b> 着[き]て</b>います。,133V.opus,133S.opus,0
134,笑う,わらう,"to laugh, to smile",verb,The baby is smiling.,赤[あか]ん 坊[ぼう]が<b> 笑[わら]って</b>います。,134V.opus,134S.opus,0
135,一番,いちばん,"most, best",adverb,He's the tallest in class.,彼[かれ]はクラスで<b> 一番[いちばん]</b> 背[せ]が 高[たか]い。,135V.opus,135S.opus,-1
136,授業,じゅぎょう,"class session, lecture",verbal noun,We have a Japanese class today.,今日[きょう]は 日本語[にほんご]の<b> 授業[じゅぎょう]</b>があります。,136V.opus,136S.opus,1
137,週,しゅう,week,noun,Will you be available the following week?,その 次[つぎ]の<b> 週[しゅう]</b>は 空[あ]いてますか。,137V.opus,137S.opus,1
138,漢字,かんじ,Chinese character,noun,Kanji came from China.,<b> 漢字[かんじ]</b>は 中国[ちゅうごく]からきました。,138V.opus,138S.opus,0
139,自転車,じてんしゃ,bicycle,noun,I go to the station by bike every day.,毎日[まいにち]、 駅[えき]まで<b> 自転車[じてんしゃ]</b>で 行[い]きます。,139V.opus,139S.opus,0
140,電車,でんしゃ,train. Typically refers to electric commuter trains in cities.,noun,I go to school by train.,私[わたし]は<b> 電車[でんしゃ]</b>で 通学[つうがく]しています。,140V.opus,140S.opus,0
141,探す,さがす,"search for, look for",verb,He was looking for the post office.,彼[かれ]は 郵便[ゆうびん] 局[きょく]を<b> 探[さが]して</b>いました。,141V.opus,141S.opus,0
142,紙,かみ,paper,noun,Do you have paper and pencil?,<b> 紙[かみ]</b>と 鉛筆[えんぴつ]はありますか。,142V.opus,142S.opus,2
143,歌う,うたう,sing,verb,We sang loudly.,私[わたし]たちは 大[おお]きな 声[こえ]で<b> 歌[うた]いました</b>。,143V.opus,143S.opus,0
144,遅い,おそい,"slow, late",adjective,The car in front of me is very slow.,前[まえ]の 車[くるま]はとても<b> 遅[おそ]い</b>。,144V.opus,144S.opus,0
145,首,くび,neck,noun,Giraffes have long necks.,きりんの<b> 首[くび]</b>は 長[なが]い。,145V.opus,145S.opus,0
146,速い,はやい,fast,adjective,He runs fast.,彼[かれ]は 走[はし]るのが<b> 速[はや]い</b>。,146V.opus,146S.opus,2
147,一緒に,いっしょに,"together, at the same time",adverb,Let's go home together.,<b> 一緒[いっしょ]に</b> 帰[かえ]りましょう。,147V.opus,147S.opus,-1
148,今月,こんげつ,this month,noun,I'm very busy this month.,<b> 今月[こんげつ]</b>はとても 忙[いそが]しい。,148V.opus,148S.opus,0
149,遊ぶ,あそぶ,play,verb,Kids are playing in the park.,子供[こども]たちが 公園[こうえん]で<b> 遊[あそ]んで</b>いる。,149V.opus,149S.opus,0
150,遠い,とおい,"Distant (in space/time, normal adjective)",adjective,It's a long way from my house to school.,家[いえ]から 学校[がっこう]までは<b> 遠[とお]い</b>です。,150V.opus,150S.opus,0
151,弱い,よわい,weak,adjective,That child has a somewhat weak constitution.,その 子[こ]は 体[からだ]が 少[すこ]し<b> 弱[よわ]い</b>。,151V.opus,151S.opus,2
152,耳,みみ,ear,noun,Her hearing isn't very good.,彼女[かのじょ]は<b> 耳[みみ]</b>がよく 聞[き]こえません。,152V.opus,152S.opus,2
153,座る,すわる,"sit, sit down",verb,I sat in a window seat.,私[わたし]は 窓側[まどがわ]の 席[せき]に<b> 座[すわ]った</b>。,153V.opus,153S.opus,0
154,右,みぎ,right,noun,I have a handkerchief in my right pocket.,<b> 右[みぎ]</b>のポケットにハンカチが 入[はい]っています。,154V.opus,154S.opus,0
155,浴びる,あびる,take (a shower),verb,I take a shower in the morning.,私[わたし]は 朝[あさ]、シャワーを<b> 浴[あ]びます</b>。,155V.opus,155S.opus,0
156,肩,かた,shoulder,noun,My shoulders are stiff.,<b> 肩[かた]</b>が 凝[こ]りました。,156V.opus,156S.opus,1
157,寝る,ねる,"sleep, go to sleep",verb,Let's go to bed.,もう<b> 寝[ね]よう</b>。,157V.opus,157S.opus,0
158,消す,けす,"switch off, turn off",verb,Please turn the lights off during the day.,昼間[ひるま]は 電気[でんき]を<b> 消[け]して</b>ください。,158V.opus,158S.opus,0
159,元気,げんき,"healthy, energetic",adjectival noun,"I'm fine, thank you.",おかげさまで<b> 元気[げんき]</b>です。,159V.opus,159S.opus,1
160,全部,ぜんぶ,"all, whole",noun,I'll take them all.,それ、<b> 全部[ぜんぶ]</b>ください。,160V.opus,160S.opus,1
161,去年,きょねん,last year (colloquial),noun,I went to France last year.,私[わたし]は<b> 去年[きょねん]</b>フランスへ 行[い]った。,161V.opus,161S.opus,1
162,引く,ひく,"draw, pull",verb,Please pull this door open.,このドアは<b> 引[ひ]いて</b>ください。,162V.opus,162S.opus,0
163,図書館,としょかん,library (public or institutional).,noun,I borrowed a cookbook from the library.,<b> 図書館[としょかん]</b>で 料理[りょうり]の 本[ほん]を 借[か]りた。,163V.opus,163S.opus,2
164,上げる,あげる,"raise, lift",verb,He put the luggage on the rack.,彼[かれ]は 荷物[にもつ]をあみだなに<b> 上[あ]げた</b>。,164V.opus,164S.opus,0
165,緑,みどり,"green (general). Basic noun for ""green""; used to describe nature, trees, parks.",noun,There's a lot of greenery in this town.,この 町[まち]には<b> 緑[みどり]</b>がたくさんあります。,165V.opus,165S.opus,1
166,腕,うで,arm,noun,He has big arms.,彼[かれ]の<b> 腕[うで]</b>は 太[ふと]い。,166V.opus,166S.opus,2
167,ドア,どあ,"western-style door. Used for swinging/hinged doors, esp in buildings.",noun,Please open the door.,<b>ドア</b>を 開[あ]けてください。,167V.opus,167S.opus,1
168,女の子,おんなのこ,"girl, child",noun,Do you know that girl?,あの<b> 女[おんな]の 子[こ]</b>を 知[し]っていますか。,168V.opus,168S.opus,3
169,男の子,おとこのこ,boy,noun,The boys are playing soccer.,<b> 男[おとこ]の 子[こ]</b>たちがサッカーをしている。,169V.opus,169S.opus,3
170,私たち,わたしたち,"we (neutral, polite and commonly used in conversation)",pronoun,We will get married next month.,<b> 私[わたし]たち</b>は 来月[らいげつ] 結婚[けっこん]します。,170V.opus,170S.opus,-1
171,近く,ちかく,"near, close to",noun,I ate near the station.,駅[えき]の<b> 近[ちか]く</b>で 食事[しょくじ]をした。,171V.opus,171S.opus,2
